minute,reserve0,reserve1
2025-01-01 00:00:00.000 UTC,23382336775118,7021267070425214678921
2025-01-01 00:02:00.000 UTC,23383137447393,7021027373367221923614
2025-01-01 00:04:00.000 UTC,23380043651564,7021959250683989078002
2025-01-01 00:05:00.000 UTC,23379231770140,7022203833265276774341
2025-01-01 00:06:00.000 UTC,23375337352994,7023377441335380052957
2025-01-01 00:07:00.000 UTC,23372508389682,7024234755391631810501
2025-01-01 00:08:00.000 UTC,23372603909682,7024206134616218422920
2025-01-01 00:09:00.000 UTC,23373599534682,7023907828167312461746
2025-01-01 00:10:00.000 UTC,23375038129424,7023476845142233531923
2025-01-01 00:11:00.000 UTC,23375129129424,7023449584587323089254
2025-01-01 00:12:00.000 UTC,23377545079515,7022725974276000922362
2025-01-01 00:13:00.000 UTC,23377504883940,7022738085572981590121
2025-01-01 00:14:00.000 UTC,23384046923137,7020779261377646559522
2025-01-01 00:15:00.000 UTC,23390037825907,7018986418799061167195
2025-01-01 00:16:00.000 UTC,23390537825907,7018836829893487594168
2025-01-01 00:17:00.000 UTC,23399364232123,7016197214517974590324
2025-01-01 00:18:00.000 UTC,23399286581950,7016220657809389345832
2025-01-01 00:19:00.000 UTC,23399691320726,7016099853666642104725
2025-01-01 00:20:00.000 UTC,23399662399527,7016108551424640849899
2025-01-01 00:21:00.000 UTC,23403262099527,7015032627500286300335
2025-01-01 00:22:00.000 UTC,23403841098740,7014859599768632714616
2025-01-01 00:24:00.000 UTC,23404241098740,7014740069033155236476
2025-01-01 00:27:00.000 UTC,23404080679535,7014788295028525697387
2025-01-01 00:28:00.000 UTC,23404028030240,7014804122858457258302
2025-01-01 00:29:00.000 UTC,23408723658910,7013401222006249891972
2025-01-01 00:32:00.000 UTC,23415028834203,7011518324614607074012
2025-01-01 00:33:00.000 UTC,23411381583185,7012651459502101130721
2025-01-01 00:34:00.000 UTC,23423738047373,7008963246656405038855
2025-01-01 00:35:00.000 UTC,23423824366710,7008937519950174292783
2025-01-01 00:37:00.000 UTC,23426291797752,7008201593183682534323
2025-01-01 00:39:00.000 UTC,23427518542581,7007835720691862715382
2025-01-01 00:40:00.000 UTC,23427761810581,7007763171384752204529
2025-01-01 00:41:00.000 UTC,23426364977020,7008182277519384810083
2025-01-01 00:42:00.000 UTC,23429574586597,7007225108855395649591
2025-01-01 00:43:00.000 UTC,23429525077017,7007240050430761557196
2025-01-01 00:44:00.000 UTC,23429646260085,7007204083760173492090
2025-01-01 00:45:00.000 UTC,23429254481746,7007321860718673110469
2025-01-01 00:46:00.000 UTC,23429225884125,7007330439564955046949
2025-01-01 00:48:00.000 UTC,23429056619657,7007381216729026519145
2025-01-01 00:50:00.000 UTC,23429182790556,7007343593768502977395
2025-01-01 00:52:00.000 UTC,23428734604378,7007478045958658133187
2025-01-01 00:53:00.000 UTC,23430485966594,7006955828146209559786
2025-01-01 00:54:00.000 UTC,23454804635044,6999714227746730330909
2025-01-01 00:56:00.000 UTC,23454489130068,6999808669793892869885
2025-01-01 00:57:00.000 UTC,23455034130068,6999646510520331172420
2025-01-01 00:58:00.000 UTC,23455074053491,6999634662479673666068
2025-01-01 00:59:00.000 UTC,23459312482389,6998373821472304265713
